"scenario","year","tas","tas_30yr"
"historical",1850,7.4293804011933,7.4293804011933
"historical",1851,8.03340027691569,7.7313903390545
"historical",1852,9.3579624196871,8.2735810325987
"historical",1853,6.45706991953395,7.81945325433251
"historical",1854,8.92745804460084,8.04105421238618
"historical",1855,9.09630787470572,8.21692982277277
"historical",1856,8.4977814554517,8.25705148458404
"historical",1857,9.41478681172412,8.40176840047655
"historical",1858,7.3051127394585,8.27991777147455
"historical",1859,8.97793035637845,8.34971902996494
"historical",1860,8.43375157424012,8.35735835217177
"historical",1861,8.71514298948525,8.38717373861456
"historical",1862,7.6407573543183,8.32975709366869
"historical",1863,8.72699008053299,8.35813087844472
"historical",1864,8.82456451582781,8.38922645427025
"historical",1865,8.49872641367457,8.39607020173302
"historical",1866,9.66216430664065,8.47054632555112
"historical",1867,8.19805682456659,8.45540801994087
"historical",1868,7.49072989375216,8.40463548698357
"historical",1869,9.40408693078448,8.45460805917361
"historical",1870,8.20325150163209,8.44263869929068
"historical",1871,8.05329096545914,8.42494107502561
"historical",1872,8.92267802921151,8.44658181216413
"historical",1873,9.28311692329305,8.4814374417945
"historical",1874,8.81820528213294,8.49490815540804
"historical",1875,8.43545072372648,8.49262133111259
"historical",1876,7.48961345901908,8.45547289140543
"historical",1877,7.88678103930332,8.43516246811607
"historical",1878,7.66227508962973,8.40851117920275
"historical",1879,8.52761263912674,8.41248122786688
"historical",1880,8.48838220815192,8.44778128809883
"historical",1881,8.45608955278791,8.46187093062791
"historical",1882,8.40781525912352,8.43019935860912
"historical",1883,9.2517980288153,8.52335696225183
"historical",1884,6.84711367080774,8.45401214979206
"historical",1885,8.5165006454677,8.4346852421508
"historical",1886,7.91166758080054,8.41514811299576
"historical",1887,8.36260100064215,8.38007525262636
"historical",1888,7.43154326058479,8.38428960333057
"historical",1889,8.01553737692639,8.35220983734883
"historical",1890,8.31955558045272,8.34840330422259
"historical",1891,8.15599925420058,8.3297651797131
"historical",1892,8.07359945995562,8.34419324990101
"historical",1893,8.86790671152614,8.34889047093411
"historical",1894,9.55716251739086,8.37331040431955
"historical",1895,8.45512110043881,8.37185689387836
"historical",1896,7.66161624095481,8.30517195835549
"historical",1897,8.39501133748932,8.31173710878625
"historical",1898,7.23947661935469,8.30336199963967
"historical",1899,9.55958979358414,8.30854542839966
"historical",1900,7.54566165453769,8.28662576682984
"historical",1901,8.82788253157108,8.31244548570024
"historical",1902,9.07071106793131,8.31737992032424
"historical",1903,6.39865087221749,8.22123105195505
"historical",1904,7.88302452212477,8.19005835995478
"historical",1905,7.52741030340328,8.15979034594401
"historical",1906,9.18747240876501,8.21638564426887
"historical",1907,9.15260302399938,8.2585797104254
"historical",1908,8.14133155697684,8.27454825933697
"historical",1909,8.54342952362481,8.27507548882024
"historical",1910,7.89571165319994,8.25531980365518
"historical",1911,8.11522877314322,8.24395777766702
"historical",1912,8.32650971959851,8.24124759301619
"historical",1913,7.85675525404005,8.19474616719035
"historical",1914,7.65109495398119,8.22154554329613
"historical",1915,8.08896559623825,8.20729437498848
"historical",1916,9.68661222197321,8.2664591963609
"historical",1917,8.69503198911068,8.27754022930985
"historical",1918,9.08224512387631,8.3325636247529
"historical",1919,9.02826621695743,8.36632125275394
"historical",1920,8.63700097923073,8.37690276604654
"historical",1921,9.02764541416954,8.4059576380455
"historical",1922,8.68314217345358,8.42627572849544
"historical",1923,8.08889168517233,8.40030856095031
"historical",1924,8.15471843448495,8.35356042485344
"historical",1925,9.19579877461475,8.37824968065931
"historical",1926,7.70406686443174,8.37966470144187
"historical",1927,9.16875585268624,8.40545618528177
"historical",1928,8.84723549097616,8.45904814766915
"historical",1929,9.45807369702485,8.45566427778384
"historical",1930,7.97196044921877,8.46987423760655
"historical",1931,8.1622986675942,8.44768810880732
"historical",1932,7.99867530364159,8.41195358333099
"historical",1933,7.89504231492136,8.46183329808779
"historical",1934,8.95358987050516,8.49751880970047
"historical",1935,8.34647074660212,8.52482082447376
"historical",1936,8.53338512983481,8.50301791517609
"historical",1937,8.57132338432419,8.48364192718692
"historical",1938,8.92006647815445,8.50959975789284
"historical",1939,7.59191397052924,8.47788257278965
"historical",1940,7.25712392004464,8.45659631501781
"historical",1941,9.29032358665991,8.49576614213503
"historical",1942,8.06893051356488,8.48718016860058
"historical",1943,7.60963552814643,8.47894284440412
"historical",1944,7.87185367104788,8.48630146830635
"historical",1945,7.8371602515652,8.47790795681724
"historical",1946,8.12028357100816,8.42569700178507
"historical",1947,8.45110674296342,8.41756616024683
"historical",1948,6.63671222957759,8.33604839710354
"historical",1949,7.67966174818067,8.29109491481098
"historical",1950,7.90523255230632,8.2667026339135
"historical",1951,9.00049020427549,8.26579746025037
"historical",1952,7.59357963520323,8.22947870897536
"historical",1953,8.35818272420807,8.23845507694322
"historical",1954,8.78156086124788,8.25934982450198
"historical",1955,7.99373235833157,8.21928094395921
"historical",1956,7.79036031420767,8.22215739228507
"historical",1957,7.27421323175302,8.1590059715873
"historical",1958,8.15037047503748,8.13577713772268
"historical",1959,8.77899303697562,8.11314111572103
"historical",1960,8.99619754311819,8.14728235218435
"historical",1961,8.30704638337438,8.15210727604369
"historical",1962,8.47246653935683,8.1679003172342
"historical",1963,8.29763141788851,8.18131995399977
"historical",1964,8.50820696054263,8.16647385700102
"historical",1965,7.60169819871042,8.14164810540463
"historical",1966,8.99232436924767,8.15694608005172
"historical",1967,8.30492210910747,8.1480660375445
"historical",1968,9.28094880984783,8.16009544860094
"historical",1969,8.13605589148119,8.17823351263267
"historical",1970,7.09349381956338,8.17277917594997
"historical",1971,7.27894671714471,8.10573328029946
"historical",1972,8.39989115397138,8.11676530164634
"historical",1973,8.63165876832729,8.15083274298571
"historical",1974,8.31768840633029,8.16569390082845
"historical",1975,8.03818183794416,8.17239462037442
"historical",1976,7.57488044780462,8.15421451626763
"historical",1977,7.5006912022421,8.12253399824359
"historical",1978,7.30318804179155,8.14474985865072
"historical",1979,6.91793221251608,8.11935887412857
"historical",1980,8.03340038862387,8.12363113533915
"historical",1981,7.42320932884741,8.07105510615822
"historical",1982,7.71576780554369,8.07512804516957
"historical",1983,9.02574329114942,8.09738006406761
"historical",1984,7.67601044868513,8.06052838364885
"historical",1985,8.23711589656466,8.06864116825662
"historical",1986,7.50651128063465,8.05917953380419
"historical",1987,8.1842550199326,8.08951426007684
"historical",1988,7.70160439913392,8.07455539088006
"historical",1989,8.17144198482986,8.05430368914186
"historical",1990,8.56629529979133,8.0399736143643
"historical",1991,7.49396069670379,8.01287075814195
"historical",1992,6.64260654136785,7.95187542487565
"historical",1993,6.72048573951201,7.8993039022631
"historical",1994,7.3679030326948,7.86129377133484
"historical",1995,7.51089510982986,7.85826700170549
"historical",1996,8.94726327364564,7.85676496518542
"historical",1997,9.04936088666526,7.88157959110401
"historical",1998,8.66181180771085,7.86094169103278
"historical",1999,8.48193459706766,7.87247098121899
"historical",2000,8.77231179325961,7.9284315803422
"historical",2001,9.33890539718003,7.99709686967671
"historical",2002,8.12793671072348,7.98803172156845
"historical",2003,7.90155204877464,7.96369483091669
"historical",2004,9.09229889749832,7.9895151806223
"historical",2005,8.2929872277665,7.99800869361637
"historical",2006,8.52064936389664,8.02953432415277
"historical",2007,9.11840092907215,8.08345798171378
"historical",2008,10.3448929750203,8.18484814615474
"historical",2009,9.19209853916954,8.26065369037652
"historical",2010,8.91116692529968,8.28991257493238
"historical",2011,9.07924879936325,8.34511389061624
"historical",2012,8.81673275473342,8.3818127222559
"historical",2013,9.8146261972924,8.40810881912733
"historical",2014,8.30796057296128,8.42917382326987
"ssp126",1850,7.4293804011933,7.4293804011933
"ssp126",1851,8.03340027691569,7.7313903390545
"ssp126",1852,9.3579624196871,8.2735810325987
"ssp126",1853,6.45706991953395,7.81945325433251
"ssp126",1854,8.92745804460084,8.04105421238618
"ssp126",1855,9.09630787470572,8.21692982277277
"ssp126",1856,8.4977814554517,8.25705148458404
"ssp126",1857,9.41478681172412,8.40176840047655
"ssp126",1858,7.3051127394585,8.27991777147455
"ssp126",1859,8.97793035637845,8.34971902996494
"ssp126",1860,8.43375157424012,8.35735835217177
"ssp126",1861,8.71514298948525,8.38717373861456
"ssp126",1862,7.6407573543183,8.32975709366869
"ssp126",1863,8.72699008053299,8.35813087844472
"ssp126",1864,8.82456451582781,8.38922645427025
"ssp126",1865,8.49872641367457,8.39607020173302
"ssp126",1866,9.66216430664065,8.47054632555112
"ssp126",1867,8.19805682456659,8.45540801994087
"ssp126",1868,7.49072989375216,8.40463548698357
"ssp126",1869,9.40408693078448,8.45460805917361
"ssp126",1870,8.20325150163209,8.44263869929068
"ssp126",1871,8.05329096545914,8.42494107502561
"ssp126",1872,8.92267802921151,8.44658181216413
"ssp126",1873,9.28311692329305,8.4814374417945
"ssp126",1874,8.81820528213294,8.49490815540804
"ssp126",1875,8.43545072372648,8.49262133111259
"ssp126",1876,7.48961345901908,8.45547289140543
"ssp126",1877,7.88678103930332,8.43516246811607
"ssp126",1878,7.66227508962973,8.40851117920275
"ssp126",1879,8.52761263912674,8.41248122786688
"ssp126",1880,8.48838220815192,8.44778128809883
"ssp126",1881,8.45608955278791,8.46187093062791
"ssp126",1882,8.40781525912352,8.43019935860912
"ssp126",1883,9.2517980288153,8.52335696225183
"ssp126",1884,6.84711367080774,8.45401214979206
"ssp126",1885,8.5165006454677,8.4346852421508
"ssp126",1886,7.91166758080054,8.41514811299576
"ssp126",1887,8.36260100064215,8.38007525262636
"ssp126",1888,7.43154326058479,8.38428960333057
"ssp126",1889,8.01553737692639,8.35220983734883
"ssp126",1890,8.31955558045272,8.34840330422259
"ssp126",1891,8.15599925420058,8.3297651797131
"ssp126",1892,8.07359945995562,8.34419324990101
"ssp126",1893,8.86790671152614,8.34889047093411
"ssp126",1894,9.55716251739086,8.37331040431955
"ssp126",1895,8.45512110043881,8.37185689387836
"ssp126",1896,7.66161624095481,8.30517195835549
"ssp126",1897,8.39501133748932,8.31173710878625
"ssp126",1898,7.23947661935469,8.30336199963967
"ssp126",1899,9.55958979358414,8.30854542839966
"ssp126",1900,7.54566165453769,8.28662576682984
"ssp126",1901,8.82788253157108,8.31244548570024
"ssp126",1902,9.07071106793131,8.31737992032424
"ssp126",1903,6.39865087221749,8.22123105195505
"ssp126",1904,7.88302452212477,8.19005835995478
"ssp126",1905,7.52741030340328,8.15979034594401
"ssp126",1906,9.18747240876501,8.21638564426887
"ssp126",1907,9.15260302399938,8.2585797104254
"ssp126",1908,8.14133155697684,8.27454825933697
"ssp126",1909,8.54342952362481,8.27507548882024
"ssp126",1910,7.89571165319994,8.25531980365518
"ssp126",1911,8.11522877314322,8.24395777766702
"ssp126",1912,8.32650971959851,8.24124759301619
"ssp126",1913,7.85675525404005,8.19474616719035
"ssp126",1914,7.65109495398119,8.22154554329613
"ssp126",1915,8.08896559623825,8.20729437498848
"ssp126",1916,9.68661222197321,8.2664591963609
"ssp126",1917,8.69503198911068,8.27754022930985
"ssp126",1918,9.08224512387631,8.3325636247529
"ssp126",1919,9.02826621695743,8.36632125275394
"ssp126",1920,8.63700097923073,8.37690276604654
"ssp126",1921,9.02764541416954,8.4059576380455
"ssp126",1922,8.68314217345358,8.42627572849544
"ssp126",1923,8.08889168517233,8.40030856095031
"ssp126",1924,8.15471843448495,8.35356042485344
"ssp126",1925,9.19579877461475,8.37824968065931
"ssp126",1926,7.70406686443174,8.37966470144187
"ssp126",1927,9.16875585268624,8.40545618528177
"ssp126",1928,8.84723549097616,8.45904814766915
"ssp126",1929,9.45807369702485,8.45566427778384
"ssp126",1930,7.97196044921877,8.46987423760655
"ssp126",1931,8.1622986675942,8.44768810880732
"ssp126",1932,7.99867530364159,8.41195358333099
"ssp126",1933,7.89504231492136,8.46183329808779
"ssp126",1934,8.95358987050516,8.49751880970047
"ssp126",1935,8.34647074660212,8.52482082447376
"ssp126",1936,8.53338512983481,8.50301791517609
"ssp126",1937,8.57132338432419,8.48364192718692
"ssp126",1938,8.92006647815445,8.50959975789284
"ssp126",1939,7.59191397052924,8.47788257278965
"ssp126",1940,7.25712392004464,8.45659631501781
"ssp126",1941,9.29032358665991,8.49576614213503
"ssp126",1942,8.06893051356488,8.48718016860058
"ssp126",1943,7.60963552814643,8.47894284440412
"ssp126",1944,7.87185367104788,8.48630146830635
"ssp126",1945,7.8371602515652,8.47790795681724
"ssp126",1946,8.12028357100816,8.42569700178507
"ssp126",1947,8.45110674296342,8.41756616024683
"ssp126",1948,6.63671222957759,8.33604839710354
"ssp126",1949,7.67966174818067,8.29109491481098
"ssp126",1950,7.90523255230632,8.2667026339135
"ssp126",1951,9.00049020427549,8.26579746025037
"ssp126",1952,7.59357963520323,8.22947870897536
"ssp126",1953,8.35818272420807,8.23845507694322
"ssp126",1954,8.78156086124788,8.25934982450198
"ssp126",1955,7.99373235833157,8.21928094395921
"ssp126",1956,7.79036031420767,8.22215739228507
"ssp126",1957,7.27421323175302,8.1590059715873
"ssp126",1958,8.15037047503748,8.13577713772268
"ssp126",1959,8.77899303697562,8.11314111572103
"ssp126",1960,8.99619754311819,8.14728235218435
"ssp126",1961,8.30704638337438,8.15210727604369
"ssp126",1962,8.47246653935683,8.1679003172342
"ssp126",1963,8.29763141788851,8.18131995399977
"ssp126",1964,8.50820696054263,8.16647385700102
"ssp126",1965,7.60169819871042,8.14164810540463
"ssp126",1966,8.99232436924767,8.15694608005172
"ssp126",1967,8.30492210910747,8.1480660375445
"ssp126",1968,9.28094880984783,8.16009544860094
"ssp126",1969,8.13605589148119,8.17823351263267
"ssp126",1970,7.09349381956338,8.17277917594997
"ssp126",1971,7.27894671714471,8.10573328029946
"ssp126",1972,8.39989115397138,8.11676530164634
"ssp126",1973,8.63165876832729,8.15083274298571
"ssp126",1974,8.31768840633029,8.16569390082845
"ssp126",1975,8.03818183794416,8.17239462037442
"ssp126",1976,7.57488044780462,8.15421451626763
"ssp126",1977,7.5006912022421,8.12253399824359
"ssp126",1978,7.30318804179155,8.14474985865072
"ssp126",1979,6.91793221251608,8.11935887412857
"ssp126",1980,8.03340038862387,8.12363113533915
"ssp126",1981,7.42320932884741,8.07105510615822
"ssp126",1982,7.71576780554369,8.07512804516957
"ssp126",1983,9.02574329114942,8.09738006406761
"ssp126",1984,7.67601044868513,8.06052838364885
"ssp126",1985,8.23711589656466,8.06864116825662
"ssp126",1986,7.50651128063465,8.05917953380419
"ssp126",1987,8.1842550199326,8.08951426007684
"ssp126",1988,7.70160439913392,8.07455539088006
"ssp126",1989,8.17144198482986,8.05430368914186
"ssp126",1990,8.56629529979133,8.0399736143643
"ssp126",1991,7.49396069670379,8.01287075814195
"ssp126",1992,6.64260654136785,7.95187542487565
"ssp126",1993,6.72048573951201,7.8993039022631
"ssp126",1994,7.3679030326948,7.86129377133484
"ssp126",1995,7.51089510982986,7.85826700170549
"ssp126",1996,8.94726327364564,7.85676496518542
"ssp126",1997,9.04936088666526,7.88157959110401
"ssp126",1998,8.66181180771085,7.86094169103278
"ssp126",1999,8.48193459706766,7.87247098121899
"ssp126",2000,8.77231179325961,7.9284315803422
"ssp126",2001,9.33890539718003,7.99709686967671
"ssp126",2002,8.12793671072348,7.98803172156845
"ssp126",2003,7.90155204877464,7.96369483091669
"ssp126",2004,9.09229889749832,7.9895151806223
"ssp126",2005,8.2929872277665,7.99800869361637
"ssp126",2006,8.52064936389664,8.02953432415277
"ssp126",2007,9.11840092907215,8.08345798171378
"ssp126",2008,10.3448929750203,8.18484814615474
"ssp126",2009,9.19209853916954,8.26065369037652
"ssp126",2010,8.91116692529968,8.28991257493238
"ssp126",2011,9.07924879936325,8.34511389061624
"ssp126",2012,8.81673275473342,8.3818127222559
"ssp126",2013,9.8146261972924,8.40810881912733
"ssp126",2014,8.30796057296128,8.42917382326987
"ssp126",2014,6.12856089525654,8.3588886565596
"ssp126",2015,8.5260287804075,8.39287257321869
"ssp126",2016,8.57267638753256,8.40581995213869
"ssp126",2017,8.63005790884245,8.43676840246231
"ssp126",2018,8.60138861901515,8.45109995693515
"ssp126",2019,8.74709606465333,8.45712664909722
"ssp126",2020,8.88147898098257,8.50337725857318
"ssp126",2021,8.97583127963299,8.58115141651535
"ssp126",2022,8.87381619235225,8.65292909827669
"ssp126",2023,8.73365886849207,8.69845429280326
"ssp126",2024,8.75035833222821,8.73976973354988
"ssp126",2025,9.07090231291046,8.7438910348587
"ssp126",2026,8.99702347316751,8.74214645440878
"ssp126",2027,8.91613474550426,8.75062388566856
"ssp126",2028,8.92109316491443,8.76526250459678
"ssp126",2029,9.01899981910409,8.7734854387916
"ssp126",2030,8.88843569613556,8.75846978209012
"ssp126",2031,8.97810226917037,8.78680863403835
"ssp126",2032,9.03689546003812,8.8246534144138
"ssp126",2033,9.08585118019994,8.82443849050385
"ssp126",2034,9.19431691083464,8.85448281327279
"ssp126",2035,8.9430272323728,8.86856207555533
"ssp126",2036,8.86599643212362,8.86014859232371
"ssp126",2037,9.07927541646755,8.81796134037195
"ssp126",2038,9.02325360950725,8.81233317604988
"ssp126",2039,8.98678266905428,8.8148537008417
"ssp126",2040,9.08111970369823,8.81491606431953
"ssp126",2041,9.25604339085044,8.82955975219009
"ssp126",2042,9.15651284766214,8.80762264053575
"ssp126",2043,9.11443238788274,8.83450503436647
"ssp126",2044,8.97636150721412,8.92943172143172
"ssp126",2045,9.12031342575531,8.94924120960998
"ssp126",2046,9.20335620841754,8.97026387030615
"ssp126",2047,9.05911735788945,8.98456585194105
"ssp126",2048,9.01043361761018,8.99820068522755
"ssp126",2049,9.20244573876287,9.01337900769787
"ssp126",2050,9.1069956378859,9.02089622959464
"ssp126",2051,9.16134617064795,9.02708005929514
"ssp126",2052,9.15963791892557,9.03660745018092
"ssp126",2053,9.07425114027978,9.04796052590718
"ssp126",2054,9.12163535419475,9.0603364266394
"ssp126",2055,9.37657794668222,9.07052561443179
"ssp126",2056,9.30413641802498,9.0807627125937
"ssp126",2057,9.12530969006802,9.08773521074583
"ssp126",2058,8.9603868207186,9.08904499927263
"ssp126",2059,9.06585770366532,9.09060692875801
"ssp126",2060,9.34112096765495,9.10569643780865
"ssp126",2061,9.28112787280828,9.11579729126325
"ssp126",2062,9.16087643646347,9.11992999047743
"ssp126",2063,9.13924371718082,9.12170974171013
"ssp126",2064,9.22323921432013,9.12267381849298
"ssp126",2065,9.2866495182994,9.13412789469053
"ssp126",2066,9.3589895077469,9.15056099721131
"ssp126",2067,9.20436008190407,9.15473048605919
"ssp126",2068,9.35215620869128,9.16569390603199
"ssp126",2069,9.29578134584657,9.17599386192507
"ssp126",2070,9.35346331371153,9.18507198225884
"ssp126",2071,9.32357102872808,9.18732290352143
"ssp126",2072,9.08993285256989,9.18510357035169
"ssp126",2073,9.13882171936667,9.18591654806782
"ssp126",2074,9.20569593474496,9.19356102898552
"ssp126",2075,9.02422022223263,9.19035792220143
"ssp126",2076,9.03716676699734,9.18481827415409
"ssp126",2077,9.24391217383854,9.19097810135239
"ssp126",2078,9.28486435675057,9.20012579265707
"ssp126",2079,9.30206486792216,9.20344643029571
"ssp126",2080,9.25774175236458,9.20847130077833
"ssp126",2081,9.15357685655232,9.20821232364181
"ssp126",2082,9.38545427930926,9.2157395356546
"ssp126",2083,9.17434197206508,9.21907589671411
"ssp126",2084,9.01302178105742,9.2154554442762
"ssp126",2085,9.19619570469639,9.20944270287667
"ssp126",2086,9.3084445430551,9.20958630704435
"ssp126",2087,9.2526247933423,9.21383014382015
"ssp126",2088,9.35348062791928,9.22693327072684
"ssp126",2089,9.27429668963764,9.23388123692592
"ssp126",2090,9.32676898124568,9.23340283737894
"ssp126",2091,9.13241254695648,9.22844565985055
"ssp126",2092,9.33008318279065,9.23408588472812
"ssp126",2093,9.1668332732102,9.23500553659577
"ssp126",2094,9.24109995316447,9.23560089455725
"ssp126",2095,8.83041291606957,9.22039300781625
"ssp126",2096,9.06111452201695,9.21046384162526
"ssp126",2097,9.28240674322571,9.21306539700264
"ssp126",2098,9.08083781295526,9.20402145047811
"ssp126",2099,9.19045834014256,9.20051068362131
"ssp126",2100,9.52941802163588,9.20637584055212
"ssp370",1850,7.4293804011933,7.4293804011933
"ssp370",1851,8.03340027691569,7.7313903390545
"ssp370",1852,9.3579624196871,8.2735810325987
"ssp370",1853,6.45706991953395,7.81945325433251
"ssp370",1854,8.92745804460084,8.04105421238618
"ssp370",1855,9.09630787470572,8.21692982277277
"ssp370",1856,8.4977814554517,8.25705148458404
"ssp370",1857,9.41478681172412,8.40176840047655
"ssp370",1858,7.3051127394585,8.27991777147455
"ssp370",1859,8.97793035637845,8.34971902996494
"ssp370",1860,8.43375157424012,8.35735835217177
"ssp370",1861,8.71514298948525,8.38717373861456
"ssp370",1862,7.6407573543183,8.32975709366869
"ssp370",1863,8.72699008053299,8.35813087844472
"ssp370",1864,8.82456451582781,8.38922645427025
"ssp370",1865,8.49872641367457,8.39607020173302
"ssp370",1866,9.66216430664065,8.47054632555112
"ssp370",1867,8.19805682456659,8.45540801994087
"ssp370",1868,7.49072989375216,8.40463548698357
"ssp370",1869,9.40408693078448,8.45460805917361
"ssp370",1870,8.20325150163209,8.44263869929068
"ssp370",1871,8.05329096545914,8.42494107502561
"ssp370",1872,8.92267802921151,8.44658181216413
"ssp370",1873,9.28311692329305,8.4814374417945
"ssp370",1874,8.81820528213294,8.49490815540804
"ssp370",1875,8.43545072372648,8.49262133111259
"ssp370",1876,7.48961345901908,8.45547289140543
"ssp370",1877,7.88678103930332,8.43516246811607
"ssp370",1878,7.66227508962973,8.40851117920275
"ssp370",1879,8.52761263912674,8.41248122786688
"ssp370",1880,8.48838220815192,8.44778128809883
"ssp370",1881,8.45608955278791,8.46187093062791
"ssp370",1882,8.40781525912352,8.43019935860912
"ssp370",1883,9.2517980288153,8.52335696225183
"ssp370",1884,6.84711367080774,8.45401214979206
"ssp370",1885,8.5165006454677,8.4346852421508
